Method:,Column 1,,
Host Date-Time:,22/5/18 @ 14:5:22,,
Header Version:,1,,
System Temp (C):,33.81,,
Detector Temp (C):,30.46,,
Humidity (%):,48.69,,
Lamp PD:,3768,,
Shift Vector Coefficients:,-6.74686,0.0524561,-0.000101434
Pixel to Wavelength Coefficients:,1814.03,-0.914938,-0.00023931
Serial Number:,5510028,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,7.03,,
Exposure (ms):,0.635,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,2.712,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.906296,0.439130366,71820,23700
904.828517,0.455097735,86358,28159
908.74643,0.462933272,97758,31575
913.963613,0.470831007,110243,35070
917.871475,0.468042403,120591,37989
921.775029,0.477820963,134100,42014
925.674276,0.483923942,150991,47062
929.569215,0.489398211,170011,52178
933.459847,0.491117299,189894,57846
937.346171,0.497766614,208331,63095
941.228187,0.499915779,224869,67261
945.105896,0.502171636,238808,70727
948.979297,0.511446476,251889,73204
952.848391,0.520586014,264137,75616
958.000482,0.530155957,279863,78138
961.859524,0.533231676,291735,79972
965.714259,0.539934337,303819,82392
969.564687,0.542921126,315794,85074
973.410806,0.546579301,327489,87814
977.252619,0.548609078,338786,90553
981.090123,0.552202761,348863,93423
984.92332,0.550108671,357867,95863
988.75221,0.54787612,365848,98499
992.576792,0.547551453,372415,100448
996.397066,0.548134744,377154,102219
1001.484064,0.545109332,381870,103814
1005.294288,0.544644356,384246,105205
1009.100203,0.542677283,385587,105665
1012.901811,0.540534675,386049,106557
1016.699112,0.538658023,386049,106895
1020.492105,0.538308084,386305,107906
1024.28079,0.535246253,385649,108421
1028.065168,0.534899831,384043,108735
1031.845238,0.532799721,382343,108482
1035.621001,0.531607628,380815,108537
1039.392456,0.529378295,379297,108728
1044.414362,0.53090328,376700,108024
1048.175766,0.528597772,375184,107275
1051.932862,0.526026607,374333,107532
1055.685651,0.526390374,373441,107880
1059.434132,0.524742603,372372,107466
1063.178306,0.522479057,372281,107952
1066.918172,0.524401665,372851,107622
1070.65373,0.52517128,373063,108063
1074.384981,0.529701769,373772,108177
1078.111924,0.527912974,374860,108361
1081.83456,0.528754652,376980,108660
1086.791374,0.530483127,379363,108796
1090.503958,0.531995833,381223,108634
1094.212235,0.531486273,384285,108862
1097.916205,0.534627199,387103,109747
1101.615867,0.53773582,390108,109699
1105.311221,0.541927576,392928,109303
1109.002268,0.542892575,396322,109875
1112.689007,0.547672629,399696,110391
1116.371438,0.550088644,401894,110123
1120.049562,0.553558171,404650,109782
1123.723379,0.561989784,407633,109088
1128.6151,0.571021616,411236,107583
1132.278865,0.584394693,413337,105346
1135.938323,0.602543116,415570,102005
1139.593473,0.619631886,417979,98575
1143.244316,0.641500294,420233,94156
1146.890851,0.659492552,422523,91312
1150.533078,0.674865127,424923,88483
1154.170998,0.691518247,427594,86316
1157.80461,0.698863626,429924,84887
1161.433915,0.706495166,432580,84201
1165.058912,0.715616226,435335,83270
1169.88554,0.721046925,439225,83363
1173.500487,0.725279152,442074,82777
1177.111125,0.72736913,445893,83035
1180.717456,0.732678652,450163,83691
1184.319479,0.734243691,454839,83362
1187.917195,0.741559148,460298,84147
1191.510603,0.744914711,466185,84888
1195.099703,0.744680703,472611,85937
1198.684496,0.749053121,478470,87308
1202.264982,0.749976099,484573,88813
1205.841159,0.748586118,491617,90304
1209.41303,0.747998118,498678,91645
1214.168822,0.746343017,507213,93908
1217.730641,0.744388282,514424,96063
1221.288153,0.741956651,521961,97918
1224.841357,0.738649011,529465,99712
